test_no,bone,axis,sign,amount,start_frame,target_frame,hold_frame,reset_frame,note
1,右足ＩＫ,X,+,0.8,20,32,44,56,translation test
2,右足ＩＫ,X,-,-0.8,65,77,89,101,translation test
3,右足ＩＫ,Y,+,0.8,110,122,134,146,translation test
4,右足ＩＫ,Y,-,-0.8,155,167,179,191,translation test
5,右足ＩＫ,Z,+,0.8,200,212,224,236,translation test
6,右足ＩＫ,Z,-,-0.8,245,257,269,281,translation test
7,左足ＩＫ,X,+,0.8,290,302,314,326,translation test
8,左足ＩＫ,X,-,-0.8,335,347,359,371,translation test
9,左足ＩＫ,Y,+,0.8,380,392,404,416,translation test
10,左足ＩＫ,Y,-,-0.8,425,437,449,461,translation test
11,左足ＩＫ,Z,+,0.8,470,482,494,506,translation test
12,左足ＩＫ,Z,-,-0.8,515,527,539,551,translation test
13,センター,X,+,0.5,560,572,584,596,translation test
14,センター,X,-,-0.5,605,617,629,641,translation test
15,センター,Y,+,0.5,650,662,674,686,translation test
16,センター,Y,-,-0.5,695,707,719,731,translation test
17,センター,Z,+,0.5,740,752,764,776,translation test
18,センター,Z,-,-0.5,785,797,809,821,translation test
19,グルーブ,X,+,0.5,830,842,854,866,translation test
20,グルーブ,X,-,-0.5,875,887,899,911,translation test
21,グルーブ,Y,+,0.5,920,932,944,956,translation test
22,グルーブ,Y,-,-0.5,965,977,989,1001,translation test
23,グルーブ,Z,+,0.5,1010,1022,1034,1046,translation test
24,グルーブ,Z,-,-0.5,1055,1067,1079,1091,translation test
