test_no,bone,axis,sign,degree,start_frame,target_frame,hold_frame,reset_frame,note
1,右足,X,+,25,20,32,44,56,right thigh
2,右足,X,-,-25,65,77,89,101,right thigh
3,右足,Y,+,25,110,122,134,146,right thigh
4,右足,Y,-,-25,155,167,179,191,right thigh
5,右足,Z,+,25,200,212,224,236,right thigh
6,右足,Z,-,-25,245,257,269,281,right thigh
7,左足,X,+,25,290,302,314,326,left thigh
8,左足,X,-,-25,335,347,359,371,left thigh
9,左足,Y,+,25,380,392,404,416,left thigh
10,左足,Y,-,-25,425,437,449,461,left thigh
11,左足,Z,+,25,470,482,494,506,left thigh
12,左足,Z,-,-25,515,527,539,551,left thigh
13,右ひざ,X,+,35,560,572,584,596,right knee
14,右ひざ,X,-,-35,605,617,629,641,right knee
15,右ひざ,Y,+,35,650,662,674,686,right knee
16,右ひざ,Y,-,-35,695,707,719,731,right knee
17,右ひざ,Z,+,35,740,752,764,776,right knee
18,右ひざ,Z,-,-35,785,797,809,821,right knee
19,左ひざ,X,+,35,830,842,854,866,left knee
20,左ひざ,X,-,-35,875,887,899,911,left knee
21,左ひざ,Y,+,35,920,932,944,956,left knee
22,左ひざ,Y,-,-35,965,977,989,1001,left knee
23,左ひざ,Z,+,35,1010,1022,1034,1046,left knee
24,左ひざ,Z,-,-35,1055,1067,1079,1091,left knee
25,右足首,X,+,25,1100,1112,1124,1136,right ankle
26,右足首,X,-,-25,1145,1157,1169,1181,right ankle
27,右足首,Y,+,25,1190,1202,1214,1226,right ankle
28,右足首,Y,-,-25,1235,1247,1259,1271,right ankle
29,右足首,Z,+,25,1280,1292,1304,1316,right ankle
30,右足首,Z,-,-25,1325,1337,1349,1361,right ankle
31,左足首,X,+,25,1370,1382,1394,1406,left ankle
32,左足首,X,-,-25,1415,1427,1439,1451,left ankle
33,左足首,Y,+,25,1460,1472,1484,1496,left ankle
34,左足首,Y,-,-25,1505,1517,1529,1541,left ankle
35,左足首,Z,+,25,1550,1562,1574,1586,left ankle
36,左足首,Z,-,-25,1595,1607,1619,1631,left ankle
