test_no,bone,axis,sign,degree,start_frame,target_frame,hold_frame,reset_frame,note
1,右腕,X,+,35,20,32,44,56,right upper arm
2,右腕,X,-,-35,65,77,89,101,right upper arm
3,右腕,Y,+,35,110,122,134,146,right upper arm
4,右腕,Y,-,-35,155,167,179,191,right upper arm
5,右腕,Z,+,35,200,212,224,236,right upper arm
6,右腕,Z,-,-35,245,257,269,281,right upper arm
7,左腕,X,+,35,290,302,314,326,left upper arm
8,左腕,X,-,-35,335,347,359,371,left upper arm
9,左腕,Y,+,35,380,392,404,416,left upper arm
10,左腕,Y,-,-35,425,437,449,461,left upper arm
11,左腕,Z,+,35,470,482,494,506,left upper arm
12,左腕,Z,-,-35,515,527,539,551,left upper arm
13,右ひじ,X,+,45,560,572,584,596,right elbow / forearm
14,右ひじ,X,-,-45,605,617,629,641,right elbow / forearm
15,右ひじ,Y,+,45,650,662,674,686,right elbow / forearm
16,右ひじ,Y,-,-45,695,707,719,731,right elbow / forearm
17,右ひじ,Z,+,45,740,752,764,776,right elbow / forearm
18,右ひじ,Z,-,-45,785,797,809,821,right elbow / forearm
19,左ひじ,X,+,45,830,842,854,866,left elbow / forearm
20,左ひじ,X,-,-45,875,887,899,911,left elbow / forearm
21,左ひじ,Y,+,45,920,932,944,956,left elbow / forearm
22,左ひじ,Y,-,-45,965,977,989,1001,left elbow / forearm
23,左ひじ,Z,+,45,1010,1022,1034,1046,left elbow / forearm
24,左ひじ,Z,-,-45,1055,1067,1079,1091,left elbow / forearm
25,右肩,X,+,25,1100,1112,1124,1136,right shoulder
26,右肩,X,-,-25,1145,1157,1169,1181,right shoulder
27,右肩,Y,+,25,1190,1202,1214,1226,right shoulder
28,右肩,Y,-,-25,1235,1247,1259,1271,right shoulder
29,右肩,Z,+,25,1280,1292,1304,1316,right shoulder
30,右肩,Z,-,-25,1325,1337,1349,1361,right shoulder
31,左肩,X,+,25,1370,1382,1394,1406,left shoulder
32,左肩,X,-,-25,1415,1427,1439,1451,left shoulder
33,左肩,Y,+,25,1460,1472,1484,1496,left shoulder
34,左肩,Y,-,-25,1505,1517,1529,1541,left shoulder
35,左肩,Z,+,25,1550,1562,1574,1586,left shoulder
36,左肩,Z,-,-25,1595,1607,1619,1631,left shoulder
37,右手首,X,+,35,1640,1652,1664,1676,right wrist
38,右手首,X,-,-35,1685,1697,1709,1721,right wrist
39,右手首,Y,+,35,1730,1742,1754,1766,right wrist
40,右手首,Y,-,-35,1775,1787,1799,1811,right wrist
41,右手首,Z,+,35,1820,1832,1844,1856,right wrist
42,右手首,Z,-,-35,1865,1877,1889,1901,right wrist
43,左手首,X,+,35,1910,1922,1934,1946,left wrist
44,左手首,X,-,-35,1955,1967,1979,1991,left wrist
45,左手首,Y,+,35,2000,2012,2024,2036,left wrist
46,左手首,Y,-,-35,2045,2057,2069,2081,left wrist
47,左手首,Z,+,35,2090,2102,2114,2126,left wrist
48,左手首,Z,-,-35,2135,2147,2159,2171,left wrist
49,上半身,X,+,20,2180,2192,2204,2216,upper body 1
50,上半身,X,-,-20,2225,2237,2249,2261,upper body 1
51,上半身,Y,+,20,2270,2282,2294,2306,upper body 1
52,上半身,Y,-,-20,2315,2327,2339,2351,upper body 1
53,上半身,Z,+,20,2360,2372,2384,2396,upper body 1
54,上半身,Z,-,-20,2405,2417,2429,2441,upper body 1
55,上半身2,X,+,20,2450,2462,2474,2486,upper body 2
56,上半身2,X,-,-20,2495,2507,2519,2531,upper body 2
57,上半身2,Y,+,20,2540,2552,2564,2576,upper body 2
58,上半身2,Y,-,-20,2585,2597,2609,2621,upper body 2
59,上半身2,Z,+,20,2630,2642,2654,2666,upper body 2
60,上半身2,Z,-,-20,2675,2687,2699,2711,upper body 2
61,下半身,X,+,20,2720,2732,2744,2756,lower body / pelvis
62,下半身,X,-,-20,2765,2777,2789,2801,lower body / pelvis
63,下半身,Y,+,20,2810,2822,2834,2846,lower body / pelvis
64,下半身,Y,-,-20,2855,2867,2879,2891,lower body / pelvis
65,下半身,Z,+,20,2900,2912,2924,2936,lower body / pelvis
66,下半身,Z,-,-20,2945,2957,2969,2981,lower body / pelvis
67,頭,X,+,20,2990,3002,3014,3026,head
68,頭,X,-,-20,3035,3047,3059,3071,head
69,頭,Y,+,20,3080,3092,3104,3116,head
70,頭,Y,-,-20,3125,3137,3149,3161,head
71,頭,Z,+,20,3170,3182,3194,3206,head
72,頭,Z,-,-20,3215,3227,3239,3251,head
